Node,Rank
Glaucocystophyceae,class
Cyanophoraceae,family
Cyanophora,genus
Cyanophora paradoxa,species
Cyanophora tetracyanea,species
Cyanophora biloba,species
Cyanophora cuspidata,species
Cyanophora kugrensii,species
Cyanophora sudae,species
Glaucocystales,order
Glaucocystaceae,family
Glaucocystis,genus
Glaucocystis nostochinearum,species
Glaucocystis oocystiformis,species
Glaucocystis bhattacharyae,species
Glaucocystis geitleri,species
Glaucocystis incrassata,species
Glaucocystis miyajii,species
Glaucocystis cf. nostochinearum,species
unclassified Glaucocystis,no rank
Glaucocystis sp. ARP-2014,species
Glaucocystis sp. BC-2016,species
Glaucocystis sp. BBH,species
Gloeochaetales,order
Gloeochaetaceae,family
Gloeochaete,genus
Gloeochaete wittrockiana,species
Cyanoptyche,genus
Cyanoptyche gloeocystis,species
environmental samples,no rank
uncultured glaucocystophycean,species
uncultured Cyanophora,species
unclassified Glaucocystophyceae,no rank
Glaucocystophyceae sp.,species
Rhodophyta,phylum
Bangiophyceae,class
Porphyridiales,order
Porphyridiaceae,family
Porphyridium,genus
Porphyridium aerugineum,species
Porphyridium sordidum,species
Porphyridium purpureum,species
unclassified Porphyridium,no rank
Porphyridium sp.,species
Porphyridium sp. MBIC10451,species
Porphyridium sp. UTEX 637,species
Porphyridium sp. ex foraminifera MH-2008,species
Porphyridium sp. RCC2962,species
Porphyridium cruentum,species
Dixoniella,genus
Dixoniella grisea,species
unclassified Dixoniella,no rank
Dixoniella sp. MACC1,species
Dixoniella giordanoi,species
Flintiella,genus
Flintiella sanguinaria,species
Erythrolobus,genus
Erythrolobus coxiae,species
Erythrolobus madagascarensis,species
Erythrolobus australicus,species
unclassified Erythrolobus,no rank
Erythrolobus sp. CCAP1380/8,species
Timspurckia,genus
Timspurckia oligopyrenoides,species
Phragmonemataceae,family
Kyliniella,genus
Kyliniella latvica,species
Bangiales,order
Bangiaceae,family
Porphyra,genus
Porphyra umbilicalis,species
Porphyra purpurea,species
Porphyra rosengurttii,species
Porphyra linearis,species
Porphyra tenuipedalis,species
Porphyra insolita,species
Porphyra dioica,species
Porphyra drachii,species
Porphyra cf. leucosticta,species
Porphyra cf. plocamiestris,species
Porphyra rediviva,species
Porphyra cuneiformis,species
Porphyra lanceolata,species
Porphyra mumfordii,species
Porphyra occidentalis,species
Porphyra papenfussii,species
environmental samples,no rank
uncultured Porphyra sp.,species
Porphyra rakiura,species
Porphyra virididentata,species
Porphyra lucasii,species
Porphyra oligospermatangia,species
unclassified Porphyra,no rank
Porphyra sp.,species
Porphyra sp. PK-49,species
Porphyra sp. 'Dover Point',species
Porphyra sp. BWT2000A,species
Porphyra sp. BWT2000B,species
Porphyra sp. BWT2000C,species
Porphyra sp. Marseille,species
Porphyra sp. Brest,species
Porphyra sp. Wales SW1,species
Porphyra sp. NHA_65044,species
Porphyra sp. WELT-A9747,species
Porphyra sp. ZCE965,species
